AIRLINE_CODE,ORIGIN_CODE,Month_of_Travel,Predicted_Delay_Time,Cancellation_Probability
9E,EWN,11,0.0,0.0
9E,EWR,1,15.62353566673844,0.0
9E,EWR,2,28.69408654103894,0.0
9E,EWR,3,5.8281771530921445,0.0
9E,EWR,4,24.32757731286873,0.0
9E,EWR,5,1.1022559466677113,0.0
9E,EWR,6,24.819573998802007,0.0
9E,EWR,7,0.0,0.0
9E,EWR,8,9.050529910963393,0.0
9E,EWR,9,2.0493798492120354,0.0
9E,EWR,10,12.989720934552203,0.0
9E,EWR,11,3.43202158633159,0.0
9E,EWR,12,11.838206820655236,0.0
9E,EYW,1,19.76006893106893,0.0
9E,EYW,2,0.0,0.0
9E,EYW,3,0.0,0.0
9E,EYW,4,0.0,0.0
9E,EYW,10,0.0,0.0
9E,EYW,11,2.384465367965368,0.0
9E,EYW,12,0.0,0.0
9E,FAR,1,0.0,0.0
9E,FAR,2,0.0,0.0
9E,FAR,3,0.0,0.0
9E,FAR,4,0.0,0.0
9E,FAR,5,0.0,0.0
9E,FAR,6,0.0,0.0
9E,FAR,7,1.4021588538028065,0.0
9E,FAR,8,0.0,0.0
9E,FAR,9,0.0,0.0
9E,FAR,10,17.587900793650796,0.0
9E,FAR,11,0.0,0.0
9E,FAR,12,0.0,0.0
9E,FAY,1,0.0,0.0
9E,FAY,2,0.0,0.0
9E,FAY,3,0.0,0.0
9E,FAY,4,3.201593545343546,0.0
9E,FAY,5,0.0,0.0
9E,FAY,6,0.09382364612511665,0.0
9E,FAY,7,3.4975912706574457,0.0
9E,FAY,8,0.9829394510718036,0.0
9E,FAY,9,0.0,0.0
9E,FAY,10,0.0,0.0
9E,FAY,11,0.0,0.0
9E,FAY,12,0.0,0.0
9E,FLL,1,0.0,0.0
9E,FLL,2,0.0,0.0
9E,FLL,11,0.0,0.0
9E,FLL,12,11.288372294372298,0.0
9E,FNT,1,0.0,0.0
9E,FNT,2,0.0,0.0
9E,FNT,3,0.0,0.0
9E,FNT,5,0.0,0.0
9E,FNT,6,0.8263378297532502,0.0
9E,FNT,7,3.0018793224749105,0.0
