AIRLINE_CODE,ORIGIN_CODE,EXPECTED_DELAY
NK,CYS,
NK,ABR,
NK,LCK,
NK,RKS,
NK,GCK,
NK,LWS,
NK,EAR,
NK,GTR,
NK,CSG,
NK,RFD,
NK,BLV,
NK,TYR,
NK,CMX,
NK,PAH,
NK,JST,
NK,TOL,
NK,PSG,
NK,MHK,
NK,YKM,
NK,EAT,
NK,SPI,
NK,BQK,
NK,TWF,
NK,PUB,
NK,DEC,
NK,ACT,
NK,HHH,
NK,PLN,
NK,HIB,
NK,GUC,
NK,ITH,
NK,OME,
NK,MBS,
NK,BFM,
NK,ADQ,
NK,LYH,
NK,RHI,
NK,ALW,
NK,DLG,
NK,ALS,
NK,MMH,
NK,XWA,
NK,SPN,
NK,MVY,
NK,ERI,
NK,PGV,
NK,HGR,
NK,ATY,
NK,SMX,
NK,HVN,
NK,CGI,
NK,BKG,
NK,DIK,
NK,AKN,
NK,RIW,
NK,FLO,
NK,GUM,
NK,EAU,
NK,TBN,
NK,HTS,
NK,PSM,
NK,EKO,
NK,PUW,
NK,FOD,
NK,CDB,
NK,WYS,
NK,OTH,
NK,VCT,
NK,PPG,
NK,OGS,
NK,ISN,
NK,ART,
NK,ILG,
NK,OWB,
NK,OGD,
NK,STC,
NK,GST,
NK,UIN,
NK,ADK,
WN,FLL,1.6818344679326407
WN,MSP,2.3924324324324324
WN,DEN,7.501411404145496
WN,MCO,6.178970171638061
WN,DAL,4.902211055276382
WN,DCA,3.16812865497076
WN,HSV,
WN,IAH,3.6240740740740742
WN,SEA,1.9915433403805496
WN,ATL,2.913710273466371
WN,RDU,0.7840065952184666
WN,MDW,5.1555373853002635
WN,BDL,0.2468354430379747
WN,BWI,5.986986579910533
WN,STT,
WN,SRQ,5.295165394402035
WN,JFK,
WN,GRR,-3.820143884892086
WN,DFW,
WN,CLT,1.1995661605206074
WN,ORD,14.252720677146312
WN,LAS,6.760529826567563
WN,TUL,-2.6292466765140325
WN,USA,
WN,SLC,3.536213468869123
WN,BNA,1.984212970128463
WN,AUS,4.951887490747595
WN,IND,0.42578912021490933
WN,MHT,-4.401273885350318
WN,SFO,-1.0672328379334748
WN,PRC,
WN,BOS,-1.254639175257732
WN,LAX,1.7167449139280124
WN,SMF,1.311543134872418
WN,DTW,1.2198473282442748
WN,SAT,0.9774620284174425
WN,MSY,6.405053883314753
WN,CMH,-0.6165550821667681
WN,STL,2.924308039917153
WN,SJU,0.6650246305418719
WN,PHX,4.886834733893558
WN,TPA,3.9522203485103993
WN,LGA,5.120381406436233
WN,PHL,-1.8352534562211982
WN,GRK,
WN,ILM,
WN,JLN,
WN,MKE,-0.17373461012311903
WN,BIL,
WN,BLI,-0.1095890410958904
WN,CHS,2.8947368421052633
WN,RIC,-0.7777777777777778
WN,GSO,
WN,MCI,1.4039228723404256
WN,EWR,14.5
WN,ELP,0.583495145631068
WN,SDF,-1.088235294117647
WN,HPN,
WN,SAN,1.137882162381049
WN,BHM,2.6571969696969697
WN,SJC,1.2683082148163871
WN,ASE,
WN,HNL,0.025087108013937282
WN,MAF,0.27941176470588236
WN,BUF,-0.1037463976945245
WN,TUS,0.01984126984126984
WN,SYR,-4.819444444444445
WN,MSN,
WN,FAT,15.862068965517242
WN,FWA,
WN,LAN,
WN,ABI,
WN,ICT,-6.522842639593908
WN,CMI,
WN,OAK,2.0192236598890942
WN,IAD,-2.7406015037593985
WN,EUG,3.9107142857142856
WN,MIA,10.752755905511812
WN,CHA,
WN,BTV,
WN,RSW,3.5179801071155317
WN,PDX,1.0690131124913733
WN,SNA,2.804553264604811
WN,PIT,-0.2857142857142857
WN,OGG,-0.6100244498777506
WN,HRL,-1.5797665369649805
WN,BIS,
WN,SHR,
WN,BOI,-1.765886287625418
WN,RNO,2.0205128205128204
WN,GSP,-6.591928251121076
WN,MLB,
WN,GRB,
WN,CRW,
WN,LGB,2.1849507735583686
WN,OKC,2.316789862724393
WN,PVD,4.0315186246418335
WN,YAK,
WN,CID,
WN,FSD,
WN,HYS,
WN,VPS,3.3013698630136985
WN,ROC,-2.978165938864629
WN,SAV,4.33502538071066
WN,CLE,-1.9307692307692308
WN,RDD,
WN,ANC,
WN,DVL,
WN,SWO,
WN,BUR,2.2359985910531877
WN,PIR,
WN,HOU,3.664852667905495
WN,PBI,0.14482758620689656
WN,MLI,
WN,AZA,
WN,MKG,
WN,PNS,-0.802547770700637
WN,MYR,-0.861244019138756
WN,GTF,
WN,LSE,
WN,RDM,
WN,ORF,1.9783132530120482
WN,KOA,-0.4764044943820225
WN,MQT,
WN,COS,1.5125
WN,CVG,-2.4601063829787235
WN,MOB,
WN,AVL,
WN,BTR,
WN,JNU,
WN,CDC,
WN,SPS,
WN,ECP,4.442516268980477
WN,JAX,2.524390243902439
WN,SBN,
WN,RAP,
WN,AMA,-1.037037037037037
WN,JMS,
WN,SFB,
WN,ABQ,1.925074183976261
WN,ALB,-0.9806034482758621
WN,BGM,
WN,MGM,
WN,MEM,2.1172022684310017
WN,ONT,0.36952498457742133
WN,TVC,
WN,GEG,1.7483660130718954
WN,OMA,3.288977159880834
WN,ISP,-0.4613686534216336
WN,DLH,
WN,PIE,
WN,PSP,-0.7013888888888888
WN,ACY,
WN,BJI,
WN,LBB,-0.5710659898477157
WN,SHV,
WN,TTN,
WN,PIA,
WN,GNV,
WN,PWM,-1.4829268292682927
WN,BZN,5.392045454545454
WN,BRW,
WN,MFR,
WN,GPT,
WN,ATW,
WN,DSM,-1.8844221105527639
WN,CKB,
WN,SGU,
WN,SBA,5.898089171974522
WN,OTZ,
WN,BGR,
WN,XNA,
